"id","s","algo","tp","fp","fn","tn","Cov_Thickness","Cov_M2","Cov_Validation","Cov_Commercial"
"2","2","1","85","62","27","303","1","0","1",""
"3","2","2","75","118","37","247","1","0","1",""
"4","2","3","99","32","13","333","1","0","1","1"
"6","4","1","55","6","58","108","0","1","1",""
"7","4","2","53","17","60","97","0","1","1",""
"8","4","3","78","11","35","103","0","1","1","1"
"9","5","3","126","12","65","182","0","1","1","1"
"10","5","4","124","2","67","192","0","1","1","1"
"11","6","1","59","17","56","112","1","0","1",""
"12","6","2","47","4","68","125","1","0","1",""
"13","6","3","73","6","42","123","1","0","1","1"
"14","7","2","73","11","11","59","0","1","1",""
"15","7","3","65","9","19","61","0","1","1","1"
"16","8","1","19","4","16","26","1","1","1",""
"17","8","3","27","2","8","28","1","1","1","1"
"18","9","1","30","8","41","110","","1","1",""
"19","9","2","21","13","50","105","","1","1",""
"20","9","3","58","13","13","105","","1","1","1"
"21","10","3","685","181","138","449","1","","0","1"
"22","10","4","684","94","139","536","1","","0","1"
"24","12","3","20","8","5","62","1","1","1","1"
"25","12","4","23","13","2","57","1","1","1","1"
"29","14","1","63","16","57","104","","1","1",""
"30","14","2","76","24","44","96","","1","1",""
"31","14","3","95","8","25","112","","1","1","1"
